dataset,mode,k,n_cycles,run,file,n_engines,RMSE,MAE,NASA_Score,spearman_rho,spearman_p,kendall_tau,kendall_p,distinct_values,modal_value,modal_share_pct,pred_mean,pred_sd,true_sd,sd_ratio_pred_over_true,RMSE_trainmean_const,beats_trainmean_RMSE
FD001,zero_shot,0,30,run1,traces_FD001_zero_shot_k0_n30.json,100,62.83024749274826,52.58,48468.82547540144,0.11505915236327166,0.25432121515304285,0.095208367598188,0.2522820252966551,2,23.0,85.0,25.85,6.818535344370098,40.27515839619236,0.1692987840617587,41.94179565195834,False
FD001,zero_shot,0,30,run2,traces_FD001_zero_shot_k0_n30_run2.json,100,61.80889903565667,51.34,45488.09436347326,0.2103369438616555,0.03568629084983494,0.17404818877365924,0.03636467504472282,2,23.0,81.0,26.61,7.491267643669589,40.27515839619236,0.18600218948804478,41.94179565195834,False
FD001,zero_shot,0,30,run3,traces_FD001_zero_shot_k0_n30_run3.json,100,61.74431147887229,51.82,43301.285651750615,0.24038507869903486,0.0159934212702472,0.19891221574132487,0.016765914811407788,2,23.0,81.0,26.61,7.491267643669589,40.27515839619236,0.18600218948804478,41.94179565195834,False
FD001,zero_shot,0,30,run4,traces_FD001_zero_shot_k0_n30_run4.json,100,61.5223536610881,51.22,45986.944267409584,0.21341992689036526,0.03300721919322718,0.17504105939026307,0.03446225332160273,3,23.0,80.0,26.83,7.704196678735976,40.27515839619236,0.19128904728191798,41.94179565195834,False
FD003,few_shot,3,5,run1,traces_FD003_few_shot_k3.json,100,55.96105788849957,46.52,32049.519061347004,0.2190795655876354,0.028529399220383694,0.17477894361013624,0.026913243364434004,5,23.0,49.0,33.06,10.47731556335598,39.36339888420678,0.2661689757578237,43.70001135914202,False
FD003,few_shot,3,15,run1,traces_FD003_few_shot_k3_n15.json,100,51.71092727847761,42.88,20279.43759023581,0.04794557758983167,0.6357135633838742,0.03819778127660949,0.6387086416016635,3,45.0,73.0,40.58,8.595488598237115,39.36339888420678,0.21836245959151054,43.70001135914202,False
FD003,few_shot,3,30,run1,traces_FD003_few_shot_k3_n30.json,100,46.38329440649942,38.93,108143.18333577002,-0.12472749969449244,0.21629937690775347,-0.09223651481886914,0.21832872826612781,8,95.0,33.0,88.67,16.36827122912811,39.36339888420678,0.4158246414969851,43.70001135914202,False
FD003,few_shot,5,5,run1,traces_FD003_few_shot_k5.json,100,55.981514806228674,46.75,32901.67633088919,0.31202568770153083,0.0015759440365498893,0.24904535182710982,0.0018573397384932806,3,23.0,57.0,32.01,10.468321621719387,39.36339888420678,0.26594049087360294,43.70001135914202,False
FD003,few_shot,5,15,run1,traces_FD003_few_shot_k5_n15.json,100,51.35552550602515,42.91,19888.03245754357,-0.011360591876371246,0.9106797218748258,-0.010999908701136669,0.8916699309680576,5,45.0,74.0,40.95,8.177790815755966,39.36339888420678,0.2077511355107352,43.70001135914202,False
FD003,few_shot,5,30,run1,traces_FD003_few_shot_k5_n30.json,100,45.71487722831595,38.45,55699.60784034293,-0.12892602050752353,0.20111064291935157,-0.09555054830819602,0.1963210913865142,10,95.0,29.0,84.97,17.346996363298253,39.36339888420678,0.4406884785108875,43.70001135914202,False
FD003,few_shot,10,5,run1,traces_FD003_few_shot_k10.json,100,73.01992878659907,62.27,149709.51430960486,0.15941878793503542,0.1131265998596685,0.13108269838728445,0.11197582023761603,5,10.0,92.0,11.93,6.924199986608232,39.36339888420678,0.17590452508882132,43.70001135914202,False
FD003,few_shot,10,15,run1,traces_FD003_few_shot_k10_n15.json,100,52.257726701417084,43.63,21286.79489840595,0.1744342639510647,0.08260881114039395,0.13768062400002445,0.08297631008781294,3,30.0,49.0,38.65,8.699674903945747,39.36339888420678,0.22100924083149218,43.70001135914202,False
FD003,few_shot,10,30,run1,traces_FD003_few_shot_k10_n30.json,100,47.58014291697746,40.51,71047.58621970193,-0.28391819067505053,0.004201228853456074,-0.2199863671940403,0.003388548177841697,8,95.0,33.0,81.97,17.787440240322113,39.36339888420678,0.4518776514357025,43.70001135914202,False
FD003,zero_shot,0,5,run1,traces_FD003_zero_shot_k0.json,100,58.55792004502892,49.13,37417.56813370059,0.1142084458599033,0.25787321010247527,0.09494259884103495,0.2558060595764058,2,23.0,61.0,30.41,9.313935470003749,39.36339888420678,0.2366141068610985,43.70001135914202,False
FD003,zero_shot,0,15,run1,traces_FD003_zero_shot_k0_n15.json,100,60.42077457298938,50.55,47524.62266832881,0.03881758554832232,0.7013934792010869,0.03189432778451334,0.7013084046620185,3,23.0,71.0,28.29,8.597973686581712,39.36339888420678,0.21842559154695748,43.70001135914202,False
FD003,zero_shot,0,30,run1,traces_FD003_zero_shot_k0_n30.json,100,56.29822377304634,46.57,33469.1620922677,0.22980806804167372,0.021444643079813072,0.19104169617436356,0.022221436062064677,2,23.0,51.0,32.31,9.545949482118136,39.36339888420678,0.24250826282046803,43.70001135914202,False
